Body. SootClass: com.actionbarsherlock.internal.view.menu.ActionMenuItemView, SootMethod: <com.actionbarsherlock.internal.view.menu.ActionMenuItemView: void onFinishInflate()>, Stmt: virtualinvoke $r0.<com.actionbarsherlock.internal.view.menu.ActionMenuItemView: void setOnClickListener(android.view.View$OnClickListener)>($r0)
Body. SootClass: org.yuttadhammo.tipitaka.SearchActivity, SootMethod: <org.yuttadhammo.tipitaka.SearchActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r12.<android.widget.TextView: void setOnClickListener(android.view.View$OnClickListener)>($r16)
Body. SootClass: org.yuttadhammo.tipitaka.BookmarkEnglishActivity, SootMethod: <org.yuttadhammo.tipitaka.BookmarkEnglishActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r3.<android.widget.ListView: void setOnItemLongClickListener(android.widget.AdapterView$OnItemLongClickListener)>($r10)
Body. SootClass: org.yuttadhammo.tipitaka.SearchDialog, SootMethod: <org.yuttadhammo.tipitaka.SearchDialog: void setupNormalPopupMenu()>, Stmt: virtualinvoke $r1.<android.widget.ListView: void setOnItemLongClickListener(android.widget.AdapterView$OnItemLongClickListener)>($r2)
Body. SootClass: org.yuttadhammo.tipitaka.BookmarkEnglishActivity, SootMethod: <org.yuttadhammo.tipitaka.BookmarkEnglishActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r3.<android.widget.ListView: void setOnItemClickListener(android.widget.AdapterView$OnItemClickListener)>($r9)
Body. SootClass: com.actionbarsherlock.internal.view.menu.ActionMenuItemView, SootMethod: <com.actionbarsherlock.internal.view.menu.ActionMenuItemView: void onFinishInflate()>, Stmt: virtualinvoke $r2.<android.widget.ImageButton: void setOnLongClickListener(android.view.View$OnLongClickListener)>($r0)
Body. SootClass: com.actionbarsherlock.internal.widget.ActionBarContextView, SootMethod: <com.actionbarsherlock.internal.widget.ActionBarContextView: void initForMode(com.actionbarsherlock.view.ActionMode)>, Stmt: virtualinvoke $r6.<android.view.View: void setOnClickListener(android.view.View$OnClickListener)>($r7)
Body. SootClass: org.yuttadhammo.tipitaka.SearchActivity, SootMethod: <org.yuttadhammo.tipitaka.SearchActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r12.<android.widget.TextView: void setOnClickListener(android.view.View$OnClickListener)>($r23)
Body. SootClass: com.actionbarsherlock.widget.SearchView, SootMethod: <com.actionbarsherlock.widget.SearchView: void <init>(android.content.Context,android.util.AttributeSet)>, Stmt: virtualinvoke $r17.<com.actionbarsherlock.widget.SearchView$SearchAutoComplete: void setOnEditorActionListener(android.widget.TextView$OnEditorActionListener)>($r21)
Body. SootClass: com.actionbarsherlock.internal.widget.IcsListPopupWindow, SootMethod: <com.actionbarsherlock.internal.widget.IcsListPopupWindow: int buildDropDown()>, Stmt: virtualinvoke $r4.<com.actionbarsherlock.internal.widget.IcsListPopupWindow$DropDownListView: void setOnItemSelectedListener(android.widget.AdapterView$OnItemSelectedListener)>($r10)
Body. SootClass: com.actionbarsherlock.internal.view.menu.ActionMenuItemView, SootMethod: <com.actionbarsherlock.internal.view.menu.ActionMenuItemView: void onFinishInflate()>, Stmt: virtualinvoke $r0.<com.actionbarsherlock.internal.view.menu.ActionMenuItemView: void setOnLongClickListener(android.view.View$OnLongClickListener)>($r0)
Body. SootClass: org.yuttadhammo.tipitaka.DictionaryActivity, SootMethod: <org.yuttadhammo.tipitaka.DictionaryActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r10.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r13)
Body. SootClass: org.yuttadhammo.tipitaka.SearchActivity, SootMethod: <org.yuttadhammo.tipitaka.SearchActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r12.<android.widget.TextView: void setOnClickListener(android.view.View$OnClickListener)>($r15)
