Body. SootClass: com.amaze.filemanager.adapters.Recycleradapter, SootMethod: <com.amaze.filemanager.adapters.Recycleradapter: void onBindViewHolder(android.support.v7.widget.RecyclerView$ViewHolder,int)>, Stmt: virtualinvoke $r14.<android.widget.ImageButton: void setOnClickListener(android.view.View$OnClickListener)>($r15)
Body. SootClass: com.amaze.filemanager.activities.MainActivity, SootMethod: <com.amaze.filemanager.activities.MainActivity: boolean onPrepareOptionsMenu(android.view.Menu)>, Stmt: virtualinvoke $r18.<android.widget.LinearLayout: void setOnClickListener(android.view.View$OnClickListener)>($r20)
Body. SootClass: com.amaze.filemanager.adapters.ZipAdapter, SootMethod: <com.amaze.filemanager.adapters.ZipAdapter: void onBindViewHolder(android.support.v7.widget.RecyclerView$ViewHolder,int)>, Stmt: virtualinvoke $r5.<android.view.View: void setOnLongClickListener(android.view.View$OnLongClickListener)>($r15)
Body. SootClass: com.amaze.filemanager.activities.MainActivity, SootMethod: <com.amaze.filemanager.activities.MainActivity: void bbar(com.amaze.filemanager.fragments.Main)>, Stmt: virtualinvoke $r2.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r27)
Body. SootClass: com.amaze.filemanager.adapters.Recycleradapter, SootMethod: <com.amaze.filemanager.adapters.Recycleradapter: void onBindViewHolder(android.support.v7.widget.RecyclerView$ViewHolder,int)>, Stmt: virtualinvoke $r4.<android.view.View: void setOnClickListener(android.view.View$OnClickListener)>($r9)
Body. SootClass: com.amaze.filemanager.fragments.TabFragment, SootMethod: <com.amaze.filemanager.fragments.TabFragment: android.view.View onCreateView(android.view.LayoutInflater,android.view.ViewGroup,android.os.Bundle)>, Stmt: virtualinvoke $r9.<com.amaze.filemanager.ui.views.CustomViewPager: void setOnPageChangeListener(android.support.v4.view.ViewPager$OnPageChangeListener)>($r12)
Body. SootClass: com.amaze.filemanager.adapters.Recycleradapter, SootMethod: <com.amaze.filemanager.adapters.Recycleradapter: void onBindViewHolder(android.support.v7.widget.RecyclerView$ViewHolder,int)>, Stmt: virtualinvoke $r17.<com.amaze.filemanager.ui.views.RoundedImageView: void setOnClickListener(android.view.View$OnClickListener)>($r18)
Body. SootClass: com.amaze.filemanager.activities.MainActivity, SootMethod: <com.amaze.filemanager.activities.MainActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r8.<android.view.View: void setOnClickListener(android.view.View$OnClickListener)>($r45)
Body. SootClass: com.amaze.filemanager.adapters.Recycleradapter, SootMethod: <com.amaze.filemanager.adapters.Recycleradapter: void onBindViewHolder(android.support.v7.widget.RecyclerView$ViewHolder,int)>, Stmt: virtualinvoke $r4.<android.view.View: void setOnClickListener(android.view.View$OnClickListener)>($r27)
Body. SootClass: com.amaze.filemanager.activities.MainActivity, SootMethod: <com.amaze.filemanager.activities.MainActivity: void bbar(com.amaze.filemanager.fragments.Main)>, Stmt: virtualinvoke $r20.<android.widget.ImageButton: void setOnClickListener(android.view.View$OnClickListener)>($r24)
Body. SootClass: com.afollestad.materialdialogs.DialogInit, SootMethod: <com.afollestad.materialdialogs.DialogInit: void init(com.afollestad.materialdialogs.MaterialDialog)>, Stmt: virtualinvoke $r0.<com.afollestad.materialdialogs.MaterialDialog: void setOnCancelListener(android.content.DialogInterface$OnCancelListener)>($r33)
Body. SootClass: com.amaze.filemanager.activities.MainActivity, SootMethod: <com.amaze.filemanager.activities.MainActivity: void createSmbDialog(java.lang.String,boolean,com.amaze.filemanager.fragments.Main)>, Stmt: virtualinvoke $r13.<android.widget.CheckBox: void setOnClickListener(android.view.View$OnClickListener)>($r14)
Body. SootClass: com.github.clans.fab.FloatingActionButton, SootMethod: <com.github.clans.fab.FloatingActionButton: void setOnClickListener(android.view.View$OnClickListener)>, Stmt: specialinvoke $r0.<android.widget.ImageButton: void setOnClickListener(android.view.View$OnClickListener)>($r1)
Body. SootClass: com.amaze.filemanager.services.asynctasks.GenerateMD5Task, SootMethod: <com.amaze.filemanager.services.asynctasks.GenerateMD5Task: void onPostExecute(java.lang.String)>, Stmt: virtualinvoke $r7.<android.view.View: void setOnClickListener(android.view.View$OnClickListener)>($r9)
Body. SootClass: com.amaze.filemanager.activities.MainActivity, SootMethod: <com.amaze.filemanager.activities.MainActivity: void initiatebbar()>, Stmt: virtualinvoke $r1.<android.view.View: void setOnClickListener(android.view.View$OnClickListener)>($r4)
Body. SootClass: com.amaze.filemanager.activities.DbViewer, SootMethod: <com.amaze.filemanager.activities.DbViewer: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r20.<android.widget.ListView: void setOnItemClickListener(android.widget.AdapterView$OnItemClickListener)>($r21)
Body. SootClass: com.afollestad.materialdialogs.DialogBase, SootMethod: <com.afollestad.materialdialogs.DialogBase: void setOnShowListenerInternal()>, Stmt: specialinvoke $r0.<android.app.Dialog: void setOnShowListener(android.content.DialogInterface$OnShowListener)>($r0)
Body. SootClass: com.afollestad.materialdialogs.DialogInit, SootMethod: <com.afollestad.materialdialogs.DialogInit: void init(com.afollestad.materialdialogs.MaterialDialog)>, Stmt: virtualinvoke $r0.<com.afollestad.materialdialogs.MaterialDialog: void setOnKeyListener(android.content.DialogInterface$OnKeyListener)>($r35)
Body. SootClass: com.amaze.filemanager.adapters.ZipAdapter, SootMethod: <com.amaze.filemanager.adapters.ZipAdapter: void onBindViewHolder(android.support.v7.widget.RecyclerView$ViewHolder,int)>, Stmt: virtualinvoke $r5.<android.view.View: void setOnClickListener(android.view.View$OnClickListener)>($r21)
